title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Omkara,8.1,6781,9300,2006,14,13,0,0,77,3
Always san-chôme no yûhi,7.8,1385,7980,2005,29,2,0,0,21,2
Chapter 27,5.7,7194,5040,2007,2,0,40,81,51,2
I-See-You.Com,5.6,2356,5520,2006,0,0,11,0,9,1
Jumper,6,190441,5280,2008,2,4,36,704,467,3
Nanny Diaries,6.1,38813,6360,2007,0,0,15,119,78,3
The charlatan,7.8,4190,6600,1947,0,0,6,22,88,2
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,7.2,1103,5820,2006,0,0,10,11,13,2
Stop-Loss,6.5,15892,6720,2008,2,3,74,355,98,2
DVD,7,108,1020,2006,0,0,0,0,1,2
This Film Is Not Yet Rated,7.6,22185,5880,2006,3,3,14,107,100,1
Pushed out,7.8,4687,6960,1947,2,0,3,46,77,3
Sister Hearts - Ramona&#39;s Wild World,6.7,10918,6180,2010,1,1,20,391,51,3
Inkheart,6.1,48141,6360,2008,0,0,43,217,107,3
Ssa-i-bo-geu-ji-man-gwen-chan-a,7.1,14814,6300,2006,7,5,0,0,52,3
Furnace,3.9,556,5400,2007,0,0,0,0,13,3
Vicky Cristina Barcelona,7.2,150056,5760,2008,24,31,84,1397,336,2
The Merry Widow,8.2,1573,8220,1925,0,0,2,5,14,2
El Mascarado Massacre,4.6,954,4500,2006,0,0,2,3,19,2
Shi gan,7.3,8060,5820,2006,3,1,2,0,36,3
Heroes of the night,6.9,63880,7020,2007,0,0,63,352,191,3
The Chronicles of Narnia - Prince Caspian of Narnia,6.6,111261,9000,2008,2,18,43,282,433,3
L.A. Confidential: Off the Record...Video ,6.9,63,1140,1998,0,0,0,0,2,2
Reno 911!: Miami,5.9,21865,5040,2007,0,0,49,0,71,2
War,6.2,59655,6180,2007,0,0,22,2,161,3
The Red House,6.9,1517,6000,1947,0,0,16,8,55,3
The way to Rio,7.4,2208,6000,1947,0,0,11,7,14,3
The double life of Mr. Mitty,7.2,3363,6600,1947,0,0,9,366,49,3
The two Mrs. Carrolls,6.8,1969,5940,1947,0,0,7,9,43,3
The suspect,7.2,1274,6180,1947,0,0,0,0,38,3
traces in the sand,7.2,5027,6360,1948,0,0,18,4,41,2
The Phantom of the Opera,7.8,10014,5580,1925,2,0,38,56,115,1
Berlin Express,6.9,1550,5220,1948,0,0,4,0,31,3
Game with death,7.7,4201,5700,1948,0,0,7,12,59,3
Gun Man,6.9,1110,5280,1948,0,0,2,4,26,3
Captured,7.2,1572,5280,1949,0,0,11,15,33,3
Command Decision,7.3,1380,6720,1948,0,0,2,2,29,2
The Dark Past,6.5,601,4500,1948,0,0,2,2,26,3
Small heart in need,7.9,4207,5400,1948,9,3,3,38,57,3
Hamlet,7.9,9272,9300,1948,13,4,37,0,66,1
Footsteps in the night,7.3,2554,4740,1948,1,0,20,6,63,3
Tati&#39;s shooting festival,7.5,4371,4740,1949,1,1,19,14,28,1
Kidnapped,5.8,91,4860,1948,0,0,0,0,2,1
Until the last hour,6.9,456,4740,1948,0,0,0,0,10,3
The Man from Earth,8,91315,5220,2007,4,1,7,26,563,2
Beaufort,6.8,3461,7860,2007,5,8,9,42,26,3
In the heart of the heart,6.6,64380,5760,2007,0,0,111,241,282,3
Bakjwi,7.2,24274,7980,2009,6,11,14,128,85,3
How to Rob a Bank,6.2,5066,4860,2007,0,0,8,10,19,3
But it happened at the time ...,6.7,6965,6060,2006,3,2,27,123,201,2
Planet 51,6.1,33675,5460,2009,2,4,54,320,69,3
Brothers,7.2,68321,6300,2009,1,10,16,6,192,3
The Baader Meinhof Complex,7.4,23841,9000,2008,3,16,33,138,106,3
Nothing like away - from the planet Earth,5.9,14337,5340,2013,1,0,21,332,35,3
The Hitchcocks on HitchVideo,5.6,29,660,2004,0,0,0,0,3,2
Mimzy - My girlfriend from the future,6.3,16512,5400,2007,0,0,55,25,127,2
In Paris,6.5,2855,5520,2006,0,0,17,15,15,2
Macbeth,7.5,3407,5520,1948,0,0,40,27,37,3
2006 Independent Spirit AwardsTV Movie ,7.1,63,6540,2006,0,0,0,0,0,1
A treasure to fall in love with,5.6,45880,6720,2008,0,0,56,149,130,3
Grace Is Gone,6.8,7180,5100,2007,4,4,40,83,42,1
City without mask,7.7,6777,5760,1948,1,4,3,38,71,3
The siblings Savage,7.2,28619,6840,2007,15,14,50,153,118,2
Making a Killing: Inside the International Arms TradeVideo ,7.2,18,900,2006,0,0,0,0,0,2
The Making of 'Lord of War'Video ,7.7,53,1200,2006,0,0,0,0,0,2
Pitfall,7.2,795,5160,1948,0,0,0,0,22,3
Everybody's Fine,7.2,40576,5940,2009,1,3,41,260,113,2
The Signal,6.1,15945,6180,2007,0,0,27,348,114,3
A Beautiful Mind: The Process of Age ProgressionVideo ,6.1,14,420,2002,0,0,0,0,1,2
The Walker,5.9,4098,6480,2007,1,0,14,23,50,3
Ben Hur,8.1,5567,8580,1925,1,0,2,33,47,3
Death Is Beautiful: Michele Soavi Directs Dellamorte DellamoreVideo ,6.4,17,1680,2006,0,0,0,0,0,2
The Solomon brothers,5.3,8470,5580,2007,0,0,22,32,43,1
The dog hotel,5.3,12399,6000,2009,1,2,50,250,51,2
My heavenly fiancé,5.2,18461,5700,2008,0,0,62,45,49,3
Ong tray 2,6.2,20157,5880,2008,1,7,15,260,72,1
Assume the Position with Mr. WuhlTV Movie ,8.2,501,1800,2006,0,0,0,0,8,3
The Immoral Mr. PhillipsVideo ,2.8,6,2160,2004,0,0,0,0,0,2
Mini,4.9,34,5760,2007,0,0,0,0,1,1
Nightclub Lilly,7.3,1188,5700,1948,0,0,3,5,36,3
American Fork,6.5,526,5040,2007,6,0,6,12,5,2
Mirrors,6.2,69124,6600,2008,0,0,17,414,218,3
Jack Reacher,7,154573,7800,2012,1,3,53,2591,371,3
The Comebacks,4.1,8958,5280,2007,0,0,19,56,40,2
I Want Candy,5.5,6185,5220,2007,0,0,2,67,24,1
Mise-en-abyme,7.3,69,1140,2006,0,0,0,0,0,2
Fall 39,6.2,45870,6540,2009,0,0,25,613,150,3
Coming Attractions: The History of the Movie Trailer,6.2,32,7680,2009,0,0,0,0,0,1
Mamma Mia!,6.4,106732,6480,2008,9,13,87,107,585,3
Namastey London,7,6497,7680,2007,0,0,2,130,42,3
War winter,7.1,7492,6180,2008,10,8,8,4,34,3
Cassandra&#39;s dream,6.8,37910,6480,2007,0,0,28,117,134,3
The subscribers,7.9,2300,6240,1948,7,4,2,46,56,2
Be Kind Rewind,6.4,71040,6120,2008,0,0,53,314,232,2
Fantastic Movie,2.3,76801,5160,2007,0,0,21,370,658,2
The Dick Cavett Show with Mel BrooksTV Movie ,8.3,26,3480,2006,0,0,0,0,2,1
ELECTROMAT,7.1,2770,4440,2006,0,0,2,9,24,2
Joe Strummer: The Future Is Unwritten,7.7,2615,7440,2007,1,2,14,21,17,3
The Sci-Fi Boys,7.1,289,4800,2006,1,0,2,5,6,1
Deception,6,27877,6420,2008,0,0,16,115,97,3
Appaloosa,6.8,43668,6900,2008,2,0,89,170,189,3
Secret behind the door,6.9,2406,5940,1947,0,0,3,8,33,3
battle of the titans,5.8,184318,6360,2010,1,8,101,6614,614,3
Thor,7,346716,6900,2011,5,15,134,17429,702,3
Life in a Metro,7.4,4942,7920,2007,8,12,0,0,33,3
The crocodiles,6.3,441,5880,2009,4,1,13,4,1,2
Death Sentence - death sentence,6.8,52119,6300,2007,0,0,41,219,279,3
It's Kind of a Funny Story,7.2,77919,6060,2010,0,0,31,256,133,3
Taxi 4,5.5,14943,5460,2007,0,0,0,0,17,2
The snake pit,7.7,3993,6480,1948,10,8,6,25,60,1
Boffo! Tinseltown's Bombs and Blockbusters,6.3,324,4500,2006,0,0,0,0,9,1
Lars and the women,7.4,95436,6360,2007,8,16,21,712,284,2
The Midnight Meat Train,6.2,39363,5880,2008,4,0,26,296,182,3
The Farewell case,7,4647,6780,2009,0,0,5,6,27,2
Illuminati,6.7,157378,8280,2009,1,5,35,63,420,2
Anderland,7.4,9464,5700,2006,19,5,3,3,59,3
Cold Prey - Ice Cold Death,6.4,11017,5820,2006,3,2,3,45,62,3
Because they know no mercy - The ItalowesternTV Movie,6.8,107,5400,2006,0,0,0,0,0,1
Free Rainer - Your TV is lying,6.7,3154,7800,2007,2,4,0,0,18,1
Jack and Jill,3.5,45051,5460,2011,12,2,45,1013,234,1
Take Me Home Tonight,6.4,37314,5820,2011,0,0,80,669,74,3
Street without name,7.2,1601,5460,1948,0,0,5,5,42,3
Path of Darkness: Making 'Silent Hill'Video ,7.8,92,3540,2006,0,0,0,0,2,1
Percy Jackson: Thieves in Olympus,5.9,104575,7080,2010,0,0,46,198,393,3
Seven lifes,7.6,184079,7380,2008,4,6,62,769,572,1
The curse of the 2 sisters,6.4,46742,5220,2009,0,0,37,308,158,3
Bounty Hunting on Acid: Tony Scott's Visual StyleVideo ,6.4,21,660,2006,0,0,0,0,0,2
Pokémon,7.8,3807,9840,2006,2,0,0,0,11,2
The Sun Comes Up,6.8,175,5580,1949,0,0,0,0,9,2
Kabluey,6.7,3816,5160,2007,0,0,27,13,32,1
Life Is a Dream in Cinema: Pola Negri,6.5,11,5280,2006,1,0,6,0,0,3
World War Z,7.1,287338,6960,2013,2,12,67,5519,866,3
Drillbit Taylor - A man for all accidents,5.7,42842,6600,2008,1,2,29,116,98,1
The three musketeers,7.3,3783,7500,1948,0,0,10,28,38,3
Edge of Love - What remains of love,6.3,10813,6600,2008,1,2,24,119,47,3
Xin zhong you gui,5.8,253,5460,2007,1,0,0,0,6,3
Biyeolhan geori,7.6,3178,8460,2006,0,0,0,0,13,3
The Womanizer - The Night of Ex-girlfriends,5.7,51833,6000,2009,0,0,79,271,94,3
Marley &amp; me,7.1,91166,6900,2008,2,4,85,235,311,3
Brown of Harvard,8.4,1201,5100,1926,0,0,0,0,7,2
Opium,7.3,275,5700,1948,0,0,0,0,12,3
Billy Wilder SpeaksTV Movie ,7.5,237,4260,2006,0,0,0,0,6,1
A Russian summer,7,12739,6720,2009,2,13,24,959,76,3
The best comes last,7.4,145833,5820,2007,1,3,64,397,292,3
The enemy in your own ranks - Intimate Enemies,6.9,2413,6660,2007,0,0,3,3,10,3
The Pervert's Guide to Cinema,7.8,3156,9000,2006,0,0,6,15,22,1
Hitchcocked!TV Movie ,7,46,1440,2006,0,0,0,0,1,1
Location Scouting with Peter Lamont: GoldenEyeVideo ,7,6,960,2006,0,0,0,0,0,2
Edge of Outside,6.7,80,3900,2006,0,0,0,0,2,1
A courageous way,6.7,21755,6480,2007,2,15,69,298,118,3
James Bond 007 - A Quantum of Comfort,6.7,241026,6360,2008,4,22,120,3415,1198,3
GG 19 - A journey through Germany in 19 articles,4.9,38,8580,2007,0,0,0,0,0,2
Under the spell of the red witch,6.6,1442,6360,1948,0,0,14,4,20,2
The Making of 'Lords of Dogtown'Video ,2.5,115,1800,2005,0,0,0,0,0,2
The Babymakers,4.9,6067,5700,2012,0,0,8,141,17,1
Summer time,7.2,4262,6180,2008,11,7,12,279,48,2
Arn - The Crusader,6.6,14839,8340,2007,2,1,5,0,52,3
Darjeeling Limited,7.2,100498,5460,2007,1,3,68,569,262,3
Stiefbrüder,6.8,160611,5880,2008,3,1,68,1232,261,1
Yoidore tenshi,7.8,5048,5880,1948,4,0,15,2,30,3
The rest is silence,8.3,2061,6840,2007,11,6,5,0,12,2
Walk Hard: Die Dewey Cox Story,6.7,49084,5760,2007,1,2,115,352,192,3
The Kids Are All Right,7.1,91773,6360,2010,16,66,73,3588,277,2
My Dog Tulip,6.9,1054,4980,2009,0,0,7,24,15,2
The wild chickens and the love,5.7,217,6480,2007,0,0,2,0,0,3
The Little Red Riding Hood ultimatum,4.8,7886,5160,2011,0,0,17,4,32,3
The son of Rambow,7.1,23296,5760,2007,3,7,32,203,101,3
Dhamaal,6.8,3617,8160,2007,0,0,0,0,21,1
Battle in Seattle,6.8,11309,5940,2007,0,0,35,65,49,2
Timber Falls,5.3,4243,6000,2007,0,0,2,33,44,2
Sunshine Cleaning,6.9,52930,5460,2008,1,4,101,381,127,2
The Duchess,6.9,45296,6600,2008,5,17,56,451,131,3
The adventures of Mr. Peabody &amp; Sherman,7.1,9680,5520,2014,0,0,31,7,67,3
City of Men,7.3,10930,6360,2007,0,0,12,0,26,2
Battle for Haditha,7.1,5588,5820,2007,2,0,0,16,36,3
Antichrist,6.6,64393,6480,2009,19,15,20,1117,400,1
Being Michael Madsen,5.5,219,5400,2007,0,0,0,0,4,0
Film Noir: Bringing Darkness to LightVideo ,7,127,4080,2006,0,0,0,0,6,2
Burt Munro: Offerings to the God of SpeedTV Movie ,7.7,54,1560,1971,0,0,0,0,1,2
The massacre of Katyn,7,10653,7320,2007,14,11,14,38,74,3
The Making of 'MirrorMask'Video ,7.8,14,3180,2006,0,0,0,0,0,1
Sanctum,5.8,40129,6480,2011,1,1,43,559,205,3
Three Kingdoms - The War of the Three Kingdoms,6.2,4206,6120,2008,2,5,3,89,25,3
Barsaat,7.8,297,10260,1949,0,0,0,0,2,3
50 Most Shocking Comedy MomentsTV Movie ,5.9,7,10800,2006,0,0,0,0,0,2
Luck by Chance,7.1,5830,9360,2009,0,0,0,0,41,1
Burn After Reading - Who burns his fingers here?,7,198124,5760,2008,2,13,118,985,526,3
Deadly Commando - The Hurt Locker,7.6,239554,7860,2008,89,57,47,7127,823,3
Awkward in love,6,58705,6060,2010,0,0,68,938,104,3
Of lions and lambs,6.2,36228,5520,2007,0,0,75,305,295,3
The Squaw Man,6.3,570,4440,1914,0,0,2,18,8,3
Ella Cinders,8.3,641,4500,1926,1,0,0,0,9,2
Kesselschlacht,7.6,4402,7080,1949,3,5,6,17,64,3
letters to Julia,6.5,50391,6300,2010,0,0,41,660,143,3
Monsters vs Aliens,6.6,85227,5640,2009,3,8,112,376,179,3
Kill Theory,5.6,4416,5100,2009,0,0,6,59,37,2
Cleaner,6.1,28150,5280,2007,0,0,14,35,50,3
The Road,7.3,138488,6660,2009,2,15,41,2160,455,2
The sting of evil,7.2,1254,5340,1949,0,0,0,0,23,3
Eichmann,5.9,1895,5760,2007,0,0,17,9,21,3
Joheunnom nabbeunnom isanghannom,7.4,20535,8160,2008,9,23,7,5,68,3
I Sell the Dead,6.1,8380,5100,2008,1,4,14,383,47,2
The red noose,7.1,2472,4260,1949,0,0,8,4,46,3
Now Showing: Unforgettable Moments from the MoviesVideo ,8,6,4800,2003,0,0,0,0,0,1
Once,8,69165,5100,2006,16,21,18,478,303,3
Frequently Asked Questions About Time Travel,7.2,21066,4980,2009,0,0,5,17,47,2
Torn hugs,7.2,25251,7620,2009,9,28,54,523,84,3
Tau ming chong,7.1,19683,7560,2007,15,13,13,128,59,3
Blutrache in New York,6.5,448,5520,1950,0,0,0,0,15,3
The boy in striped pajamas,7.8,89054,5640,2008,2,5,14,157,354,3
Unthinkable,7.1,59945,5820,2010,0,0,13,102,235,2
Days of anger,7.3,10923,7800,2008,9,15,12,25,40,3
Chand kilo khorma marassem-e tadfin,7.6,589,5100,2006,2,1,3,0,2,2
Baghead,6,2939,5040,2008,0,0,14,248,41,3
The King of Kong,8.2,26357,4740,2007,5,4,13,328,96,3
Evangerion shin gekijôban: Jo,7.8,8405,5880,2007,0,0,6,0,27,3
Secret Action Carlotta,6.8,862,5880,1949,0,0,3,2,23,3
Gomorrah - Journey to the Kingdom of Camorra,7,32087,8220,2008,23,22,45,262,119,2
Precious - Life is precious,7.4,65981,6600,2009,79,49,102,2146,259,1
Redacted,6.2,7948,5400,2007,3,2,12,108,106,3
Arthur and the Minimoys 3 - The big decision,5.5,4158,6060,2010,0,0,8,0,4,3
100 Greatest Sexy MomentsTV Movie ,6.8,27,10800,2003,0,0,0,0,1,1
Seemannslos,7.4,450,7200,1949,0,0,0,0,19,3
Green Zone,6.9,91066,6900,2010,0,0,36,1292,247,3
The Amazing Spider-Man,7.2,300076,8160,2012,3,25,132,11601,1158,3
Lost in Beijing - Everything is possible,6.8,1489,6720,2007,1,2,0,0,13,1
The Happening,5.1,136741,5460,2008,2,5,43,654,1238,2
He Who Must Not Be NamedVideo ,7.5,21,660,2006,0,0,0,0,0,2
Cass,6.5,3613,6480,2008,0,0,0,44,21,3
Lost game,6.9,1027,6480,1949,0,0,3,0,30,3
Big River Man,7.3,1259,6000,2009,1,1,2,35,7,1
You Do not Mess with the Zohan,5.5,122452,6780,2008,2,1,92,193,371,2
Bedtime Stories,6.1,58352,5940,2008,2,5,48,672,107,3
The Spaghetti WestVideo ,7.2,147,3900,2005,0,0,0,0,2,1
The Shootist: The Legend Lives OnVideo ,6.7,15,1080,2001,0,0,0,0,1,2
At the last second,6.4,1598,6000,1949,0,0,20,0,17,3
Tetro,6.9,9282,7620,2009,0,0,28,422,40,1
Down by the Riverside,5.4,34,5040,2007,0,0,5,0,5,3
The Making of 'Marie Antoinette'Video ,6.4,35,1560,2007,0,0,0,0,0,1
Hugo Cabret,7.6,192078,7560,2011,45,104,88,4508,614,3
City of Ember - Escape from the dark,6.5,42031,5400,2008,0,0,31,178,94,3
Solomon Kane,6.1,49377,6240,2009,1,0,13,614,119,3
Penalty cache Thelma Jordon,7,999,6000,1950,0,0,0,0,26,3
Bekushiru: 2077 Nihon sakoku,6.9,5943,6540,2007,0,0,9,0,37,3
Indie Sex: TeensTV Movie,7.1,283,7200,2007,0,0,2,0,1,1
Crossing Criminal CulturesVideo ,6.6,40,1440,2007,0,0,0,0,0,2
A Perfect Getaway,6.5,47162,5880,2009,0,0,56,541,200,3
Each one his cinema or This little blow to the heart when the light goes out and that the film begins,6.8,2891,6000,2007,0,0,27,0,8,2
17 Again - Back to High School,6.4,106341,6120,2009,3,4,70,52,173,3
Frigid Hare,7.5,606,420,1949,0,0,4,0,11,3
Bad Biology,4.8,2590,5040,2008,2,0,0,74,34,1
Old Dogs - Daddy oder Deal,5.3,25589,5280,2009,0,0,79,583,109,2
Frozen River - On thin ice,7.2,19180,5820,2008,33,15,19,651,88,2
The Chronicles of Narnia - The Journey to the Dawn,6.4,75873,6780,2010,0,14,52,1106,213,3
The heiress,8.2,7785,6900,1949,7,7,17,76,111,2
The Lucky Ones,7.1,9992,6900,2008,0,0,22,165,34,3
The Adventures of Tintin - The Secret of the Unicorn,7.4,141469,6420,2011,13,34,59,2373,427,3
Huo yuan jia zhi jing wu zhen ying xiong,4,12,5400,2004,0,0,0,0,0,1
When You Believe: Music from 'The Prince of Egypt'TV Movie ,7.9,15,3600,1998,0,0,0,0,0,2
The madness of Dr. Clive,7.6,638,5760,1949,0,0,5,5,21,3
Hitler: The Comedy YearsTV Movie ,6.2,26,2880,2007,0,0,0,0,0,1
In Search of a Midnight Kiss,7.3,6361,5400,2007,4,0,28,58,41,2
Flash Point,6.8,8550,5280,2007,3,2,10,25,28,1
Who is Hanna?,6.8,132191,6660,2011,4,10,46,1777,404,3
Pieces,7.6,18,360,2007,2,0,2,0,0,2
Alien Raiders,5.6,7087,5100,2008,3,0,4,67,65,3
The Experiment,6.4,32078,5760,2010,0,0,4,146,111,2
The song of the sparrows,8,4635,5760,2008,7,2,2,0,14,1
The Christmas house,6.5,1446,6180,2008,0,0,10,7,15,2
I was a male war bride,7.1,4784,6300,1949,0,0,9,7,46,3
He just does not care about you!,6.4,103921,7740,2009,1,3,126,795,189,3
Henjel Gwa Geuretel,6.9,2713,7020,2007,3,2,0,0,21,3
Gei sun yan,4.5,62,6840,2007,0,0,0,0,2,1
Zack and Miri Make a Porno,6.7,127194,6060,2008,0,0,73,556,233,2
The Iron Lady,6.4,60282,6300,2011,13,22,24,2580,333,3
Impact,7.1,1465,6660,1949,0,0,13,0,49,3
Knight and Day,6.3,113969,6540,2010,0,0,11,1830,334,3
Fast &amp; Furious - New model. Original parts.,6.6,135247,6420,2009,4,2,85,2854,208,3
Bheja Fry,7.7,4581,5700,2007,1,4,0,0,28,2
A Shine of Rainbows,7.2,1221,6060,2009,4,8,26,31,16,2
Jigsaw,6,426,4200,1949,0,0,4,2,19,3
Train,4.8,3740,5640,2008,0,0,9,65,42,2
The Boys: The Sherman Brothers' Story,7.6,461,6060,2009,0,0,8,11,12,1
Splice - the gene experiment,5.8,66938,6240,2009,3,19,71,1173,347,2
Night Train,5.8,6958,4980,2009,0,0,6,81,39,3
Designing the Near FutureVideo ,7.3,22,1080,2006,0,0,0,0,0,2
The Fighters,6.6,62912,6600,2008,1,0,33,509,169,3
The Way Back,7.3,69391,7980,2010,1,4,64,779,145,3
BrandoTV Movie ,8,507,9900,2007,0,0,0,0,7,2
The Brothers Warner,7.3,285,5400,2007,0,0,2,15,7,3
Choke - The simulant,6.5,25291,5520,2008,1,5,52,287,69,2
AFI's 100 Years... 100 Movies: 10th Anniversary EditionTV Movie ,6.5,158,10800,2007,0,0,0,0,3,1
Stiletto,5,1774,5940,2008,0,0,20,8,23,3
Orpheus,8.1,5735,5700,1950,0,0,15,27,44,3
The Warrior's Way,6.3,19014,6000,2010,0,0,44,270,98,3
Tyson,7.6,9464,5400,2008,3,3,47,873,54,2
On the Set: SerendipityTV Movie ,6,10,1200,2001,0,0,0,0,0,2
Iron Sky,6,64932,5580,2012,4,1,10,423,252,3
Major Movie Star,4.1,2637,5880,2008,0,0,10,18,13,3
Phoebe in Wonderland,7.2,5707,5760,2008,0,0,38,100,42,1
Anonyma - A woman in Berlin,7.1,3398,7860,2008,1,3,3,2,36,3
Coco Chanel - The beginning of a passion,6.7,25146,6300,2009,3,15,42,434,62,2
Screenplay Series with Syd Field,6.4,5,5400,2007,0,0,0,0,0,1
The dangerous age,5.9,18,5100,1949,0,0,0,0,2,1
The Book of Eli,6.9,170948,7080,2010,3,11,124,1419,531,3
Cadillac Records,6.9,12137,6540,2008,4,17,91,342,85,3
Ekusu makina,7.2,6617,6300,2007,0,0,8,0,20,3
Happy-Go-Lucky,7,27661,7080,2008,33,20,22,562,190,2
You were our comrade,7.2,6149,5820,1949,1,0,23,18,64,3
Kabadayi - For love and honor,7.9,8672,9060,2007,0,0,0,0,15,3
The Curse - The Grudge 3,4.6,9111,5400,2009,0,0,13,137,59,2
Goemon,6.8,3670,7680,2009,0,0,0,34,31,2
Metallica: The Videos 1989-2004Video ,8,326,8460,1989,0,0,0,0,0,1
Flash of Genius,7,12423,7140,2008,1,0,75,51,45,2
The secret garden,7.5,1545,5520,1949,0,0,0,0,30,2
Made in Italy,4.5,82,5160,2008,0,0,0,0,0,1
Sukai kurora,6.8,3680,7320,2008,5,5,12,5,30,3
Undefeated - Unbezwungen,7.4,98341,8040,2009,8,21,106,1643,247,3
Eagle Eye - Out of Control,6.6,127206,7080,2008,3,8,91,177,303,3
Cloverfield,7.1,234120,5100,2008,5,11,63,3261,2143,3
a Christmas Story,6.8,51980,5760,2009,3,2,62,1826,241,3
The devil captain,7.4,9678,5400,1949,0,1,35,30,87,2
On burning earth,6.9,12212,6420,2008,1,3,33,241,53,3
Nothing but the truth,7.3,24912,6480,2008,1,2,13,132,111,2
Life as a DreamVideo ,7.7,14,1860,2007,0,0,0,0,0,2
Boy A,7.7,28823,6360,2007,10,11,7,259,80,1
By the life of my sister,7.4,56787,6540,2009,3,3,79,349,171,1
At night in the Museum 2,5.9,86765,6300,2009,2,8,45,531,200,3
All Inclusive,5.5,68963,6780,2009,1,3,113,1211,136,1
Ice Age 3 - The dinosaurs are going on,7.1,113746,5640,2009,1,12,46,547,125,3
Baarìa - An Italian family history,6.9,4101,9000,2009,12,11,9,6,34,2
Fighting,5.5,22781,6300,2009,0,0,25,816,82,3
The Making of 'This Is England'TV Movie ,7.5,11,420,2007,0,0,0,0,0,2
Rachel&#39;s wedding,6.7,36106,6780,2008,26,22,65,1107,274,2
Megan Is Missing,5.3,3990,5100,2011,0,0,2,8,101,3
Adventureland,6.8,107058,6420,2009,0,0,53,1917,210,3
Paul - An alien on the run,7.1,146632,6240,2011,1,5,140,12,309,3
Shanghai,6.5,5828,6300,2010,0,0,3,213,26,3
Darkest Hour,4.9,41371,5340,2011,0,0,44,995,198,3
My Winnipeg,7.7,2919,4800,2007,4,8,9,76,25,3
Hotel Chevalier,7.3,15615,780,2007,0,0,11,69,19,3
Bad Lieutenant - cop without conscience,6.7,56517,7320,2009,4,6,42,777,205,2
Dil Enough Etc,7,1583,6720,2007,0,0,0,0,20,3
Whirlpool,6.9,1896,5880,1949,0,0,3,3,40,3
TRON: Legacy,6.9,210644,7500,2010,3,21,407,6687,637,3
Hamlet 2,6.4,14189,5520,2008,0,0,43,274,76,2
One Week,7.1,7776,5640,2008,1,3,16,2,50,2
The Maiden Heist,6.1,9989,5400,2009,0,0,6,24,34,2
The kidnapping of the subway Pelham 1 2 3,6.4,114346,6360,2009,1,5,65,462,273,3
Fatih Akin - Diary of a Movie TravelerTV Movie,8.1,22,3480,2007,0,0,0,0,0,1
Thick as Thieves,6,24348,6240,2009,0,0,16,22,48,3
Star Wars: Music by John WilliamsTV Movie ,8.1,25,3540,1980,0,0,0,0,0,1
Me mes madar,7.6,1952,6780,2006,0,0,0,0,1,1
The department store Cop,5.2,62674,5460,2009,1,2,31,798,176,3
The son of the sheikh,7.7,1167,4080,1926,1,0,16,5,19,2
Building 'Brick'Video ,7.7,9,2760,2006,0,0,0,0,0,1
Batman: Gotham KnightVideo ,6.9,15311,4500,2008,1,2,20,99,86,3
Hangover,7.8,428449,6000,2009,6,17,60,6030,600,1
Rosencrantz and Guildenstern Are Undead,5,611,5340,2009,1,0,2,30,12,1
The Echelon Conspiracy,5.8,15013,6300,2009,0,0,45,27,63,3
Armored Car Robbery,7,1217,4020,1950,0,0,2,7,33,3
Defective Man!,5.7,22,6360,2009,0,0,0,0,2,3
Morning Glory,6.5,47441,6420,2010,0,0,87,776,147,3
Drag Me to Hell,6.7,126913,5940,2009,4,7,47,1301,673,2
Nameless,7.6,19050,5760,2009,12,11,26,579,70,3
Our WorldVideo ,6.3,63,2940,2007,0,0,0,0,1,1
The Asphalt Jungle,7.9,14608,6720,1950,7,8,32,51,116,3
Cold Souls,6.5,7613,6060,2009,2,8,15,281,55,2
Larry Flynt: The Right to Be Left Alone,7.2,228,4440,2007,0,0,0,0,3,1
JCVD,7.2,29610,5820,2008,0,0,14,443,127,3
Pacino and DeNiro: The ConversationVideo ,7.4,29,600,2005,0,0,0,0,0,2
A Life for the DeathTV Movie,7.8,17990,8040,2010,5,26,30,373,49,2
The pact with the devil,7.6,753,5760,1950,4,0,2,2,8,2
Green Lantern,5.7,170753,6840,2011,1,2,95,9822,522,3
Duplicity - Common Secret,6.2,37023,7500,2009,1,1,42,522,177,3
Julie & Julia,7,61496,7380,2009,16,17,116,34,259,3
White Material,6.9,3512,6360,2009,2,3,9,220,22,1
District 9,8,417838,6720,2009,15,52,34,5684,1221,3
Stolen Lives,6.2,3624,5460,2009,0,0,3,87,32,3
Chinatown: The Beginning and the EndVideo ,6.1,17,1200,2007,0,0,0,0,1,2
Standing on the Shoulders of Kubrick: The Legacy of 2001Video ,7,73,1260,2001,0,0,0,0,1,2
Vision of a Future Passed: The Prophecy of 2001Video ,6.8,46,1320,2001,0,0,0,0,0,2
Cheaper in dozens,7.1,2923,5160,1950,0,0,9,8,44,3
Orphan - The orphan,7,101216,7380,2009,0,0,69,1024,354,2
Lost Kubrick: The Unfinished Films of Stanley KubrickVideo ,7,57,1200,2007,0,0,0,0,1,2
Full Metal Jacket: Between Good and EvilVideo ,6.9,67,1860,2007,0,0,0,0,2,2
Bigger Stronger Faster*,7.7,9137,6300,2008,2,2,5,0,50,2
Leaves of Grass,6.5,20564,6300,2009,0,0,36,253,59,3
Beastly - Look into his true face,5.5,46400,5160,2011,1,1,52,1053,122,3
